end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-27 09:27:00,,,,,,0.2800,0.00,5900.00
2026-02-27 09:28:00,,,,,,0.2800,0.00,5900.00
2026-02-27 09:31:00,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,86.00,5986.00
2026-02-27 09:32:00,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,166.00,6152.00
2026-02-27 09:33:00,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,6.00,6158.00
2026-02-27 09:39:00,,,,,,0.2800,0.00,6158.00
2026-02-27 09:41:00,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,250.00,6408.00
2026-02-27 09:42:00,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,114.00,6522.00
2026-02-27 09:43:00,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,83.00,6605.00
2026-02-27 09:44:00,,,,,,0.2800,0.00,6605.00
2026-02-27 09:45:00,,,,,,0.2800,0.00,6605.00
2026-02-27 09:48:00,0.2800,0.2800,0.2800,0.2800,0.2800,0.2800,250.00,6855.00
2026-02-27 09:49:00,,,,,,0.2800,0.00,6855.00
2026-02-27 09:51:00,,,,,,0.2800,0.00,6855.00
2026-02-27 09:53:00,0.2800,0.2800,0.2900,0.2900,0.2840,0.2800,10416.00,17271.00
2026-02-27 09:54:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,2982.00,20253.00
2026-02-27 09:55:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,2930.00,23183.00
2026-02-27 09:56:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,141.00,23324.00
2026-02-27 09:57:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,749.00,24073.00
2026-02-27 09:58:00,,,,,,0.2900,0.00,24073.00
2026-02-27 09:59:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2900,37.00,24110.00
2026-02-27 10:00:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.2900,7458.00,31568.00
2026-02-27 10:01:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,4688.00,36256.00
2026-02-27 10:02:00,,,,,,0.3000,0.00,36256.00
2026-02-27 10:03:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,2108.00,38364.00
2026-02-27 10:04:00,,,,,,0.3000,0.00,38364.00
2026-02-27 10:05:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,151.00,38515.00
2026-02-27 10:06:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,296.00,38811.00
2026-02-27 10:08:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,4.00,38815.00
2026-02-27 10:09:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,63.00,38878.00
2026-02-27 10:10:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,4510.00,43388.00
2026-02-27 10:11:00,,,,,,0.3000,0.00,43388.00
2026-02-27 10:12:00,,,,,,0.3000,0.00,43388.00
2026-02-27 10:13:00,,,,,,0.3000,0.00,43388.00
2026-02-27 10:14:00,,,,,,0.3000,0.00,43388.00
2026-02-27 10:15:00,,,,,,0.3000,0.00,43388.00
2026-02-27 10:16:00,,,,,,0.3000,0.00,43388.00
2026-02-27 10:17:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,5.00,43393.00
2026-02-27 10:18:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,46.00,43439.00
2026-02-27 10:19:00,,,,,,0.3000,0.00,43439.00
2026-02-27 10:20:00,,,,,,0.3000,0.00,43439.00
2026-02-27 10:21:00,,,,,,0.3000,0.00,43439.00
2026-02-27 10:22:00,,,,,,0.3000,0.00,43439.00
2026-02-27 10:23:00,,,,,,0.3000,0.00,43439.00
2026-02-27 10:24:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,56.00,43495.00
2026-02-27 10:25:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,563.00,44058.00
2026-02-27 10:26:00,,,,,,0.3000,0.00,44058.00
2026-02-27 10:27:00,,,,,,0.3000,0.00,44058.00
2026-02-27 10:28:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,15.00,44073.00
2026-02-27 10:29:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.3000,50.00,44122.00
2026-02-27 10:30:00,,,,,,0.2900,0.00,44122.00
2026-02-27 10:31:00,,,,,,0.2900,0.00,44122.00
2026-02-27 10:32:00,,,,,,0.2900,0.00,44122.00
2026-02-27 10:33:00,,,,,,0.2900,0.00,44122.00
2026-02-27 10:34:00,,,,,,0.2900,0.00,44122.00
2026-02-27 10:35:00,,,,,,0.2900,0.00,44122.00
2026-02-27 10:36:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.2900,37.00,44159.00
2026-02-27 10:37:00,,,,,,0.3000,0.00,44159.00
2026-02-27 10:38:00,,,,,,0.3000,0.00,44159.00
2026-02-27 10:39:00,,,,,,0.3000,0.00,44159.00
2026-02-27 10:40:00,,,,,,0.3000,0.00,44159.00
2026-02-27 10:41:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.3000,10.00,44169.00
2026-02-27 10:42:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.2900,31.00,44200.00
2026-02-27 10:43:00,,,,,,0.3000,0.00,44200.00
2026-02-27 10:44:00,,,,,,0.3000,0.00,44200.00
2026-02-27 10:45:00,,,,,,0.3000,0.00,44200.00
2026-02-27 10:46:00,,,,,,0.3000,0.00,44200.00
2026-02-27 10:47:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,78.00,44278.00
2026-02-27 10:48:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,15.00,44293.00
2026-02-27 10:49:00,,,,,,0.3000,0.00,44293.00
2026-02-27 10:50:00,,,,,,0.3000,0.00,44293.00
2026-02-27 10:51:00,,,,,,0.3000,0.00,44293.00
2026-02-27 10:52:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,55.00,44348.00
2026-02-27 10:53:00,,,,,,0.3000,0.00,44348.00
2026-02-27 10:54:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,159.00,44507.00
2026-02-27 10:55:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,111.00,44618.00
2026-02-27 10:56:00,,,,,,0.3000,0.00,44618.00
2026-02-27 10:57:00,,,,,,0.3000,0.00,44618.00
2026-02-27 10:58:00,,,,,,0.3000,0.00,44618.00
2026-02-27 10:59:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,312.00,44930.00
2026-02-27 11:00:00,,,,,,0.3000,0.00,44930.00
2026-02-27 11:01:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.3000,1.00,44930.00
2026-02-27 11:02:00,,,,,,0.2900,0.00,44930.00
2026-02-27 11:03:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.2900,156.00,45086.00
2026-02-27 11:04:00,,,,,,0.3000,0.00,45086.00
2026-02-27 11:05:00,,,,,,0.3000,0.00,45086.00
2026-02-27 11:06:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,40.00,45125.00
2026-02-27 11:07:00,0.2900,0.2900,0.3000,0.3000,0.2985,0.3000,1347.00,46472.00
2026-02-27 11:08:00,0.3000,0.2900,0.3000,0.3000,0.2939,0.3000,561.00,47033.00
2026-02-27 11:09:00,0.2900,0.2900,0.3000,0.3000,0.2999,0.3000,287.00,47320.00
2026-02-27 11:10:00,0.3000,0.2700,0.3000,0.2700,0.2930,0.3000,489.00,47809.00
2026-02-27 11:11:00,0.2400,0.2200,0.2500,0.2200,0.2340,0.2700,42.00,47839.00
2026-02-27 11:12:00,0.1900,0.1700,0.1900,0.1700,0.1816,0.2200,2018.00,49754.00
2026-02-27 11:13:00,0.1700,0.1700,0.1800,0.1800,0.1734,0.1700,2067.00,51821.00
2026-02-27 11:14:00,0.1700,0.1600,0.2000,0.1800,0.1756,0.1800,1353.00,53156.00
2026-02-27 11:15:00,0.1800,0.1800,0.2100,0.2100,0.1884,0.1800,3577.00,56691.00
2026-02-27 11:16:00,0.1800,0.1800,0.2200,0.2200,0.2103,0.2100,4373.00,60856.00
2026-02-27 11:17:00,0.2800,0.2700,0.2800,0.2800,0.2780,0.2200,2168.00,62158.00
2026-02-27 11:18:00,0.2700,0.2600,0.2800,0.2700,0.2713,0.2800,239.00,62365.00
2026-02-27 11:19:00,0.2900,0.2800,0.3300,0.3000,0.3002,0.2700,12324.00,67743.00
2026-02-27 11:20:00,0.3300,0.3300,0.3500,0.3500,0.3429,0.3000,421.00,68146.00
2026-02-27 11:21:00,0.3500,0.3400,0.3500,0.3500,0.3483,0.3500,155.00,68249.00
2026-02-27 11:22:00,0.3500,0.3100,0.3600,0.3100,0.3487,0.3500,201.00,68351.00
2026-02-27 11:23:00,0.3100,0.2800,0.3500,0.2800,0.3161,0.3100,1221.00,68570.00
2026-02-27 11:24:00,0.2800,0.2800,0.3600,0.3200,0.3311,0.2800,5975.00,73280.00
2026-02-27 11:25:00,0.2800,0.2200,0.2800,0.2200,0.2321,0.3200,4780.00,77261.00
2026-02-27 11:26:00,0.2300,0.1800,0.2800,0.2300,0.2249,0.2200,1108.00,78087.00
2026-02-27 11:27:00,0.2000,0.2000,0.2900,0.2900,0.2392,0.2300,10032.00,79914.00
2026-02-27 11:28:00,0.2900,0.2800,0.3200,0.2800,0.2838,0.2900,514.00,80370.00
2026-02-27 11:29:00,0.3100,0.2300,0.3100,0.2700,0.2322,0.2800,669.00,81003.00
2026-02-27 11:30:00,0.3000,0.2800,0.3200,0.2800,0.2994,0.2700,441.00,81274.00
2026-02-27 11:31:00,0.2800,0.2700,0.3200,0.2800,0.2893,0.2800,517.00,81785.00
2026-02-27 11:32:00,0.3000,0.3000,0.3400,0.3400,0.3359,0.2800,150.00,81935.00
2026-02-27 11:33:00,0.3200,0.3200,0.3400,0.3300,0.3289,0.3400,140.00,81965.00
2026-02-27 11:34:00,0.3200,0.3200,0.3500,0.3500,0.3304,0.3300,1637.00,83168.00
2026-02-27 11:35:00,0.3100,0.3000,0.3600,0.3500,0.3387,0.3500,583.00,83628.00
2026-02-27 11:36:00,0.3500,0.3500,0.4100,0.3500,0.3854,0.3500,5644.00,85585.00
2026-02-27 11:37:00,0.3500,0.3200,0.3500,0.3400,0.3213,0.3500,2503.00,88031.00
2026-02-27 11:38:00,0.3600,0.3600,0.4200,0.4200,0.4002,0.3400,442.00,88438.00
2026-02-27 11:39:00,0.4200,0.3600,0.4600,0.4100,0.3863,0.4200,11946.00,95570.00
2026-02-27 11:40:00,0.4000,0.4000,0.4800,0.4000,0.4248,0.4100,458.00,95495.00
2026-02-27 11:41:00,0.3800,0.3700,0.4400,0.4400,0.4302,0.4000,2325.00,95879.00
2026-02-27 11:42:00,0.4500,0.3800,0.4500,0.4400,0.3897,0.4400,2969.00,98795.00
2026-02-27 11:43:00,0.4400,0.4400,0.5300,0.5300,0.4925,0.4400,1703.00,99996.00
2026-02-27 11:44:00,0.5300,0.4900,0.5800,0.5800,0.5390,0.5300,1661.00,101017.00
2026-02-27 11:45:00,0.5700,0.5700,0.6100,0.6100,0.5957,0.5800,1842.00,102384.00
2026-02-27 11:46:00,0.6100,0.5300,0.6100,0.5300,0.5806,0.6100,6757.00,108714.00
2026-02-27 11:47:00,0.5500,0.5200,0.5500,0.5200,0.5204,0.5300,1897.00,110578.00
2026-02-27 11:48:00,0.5200,0.5200,0.5900,0.5900,0.5777,0.5200,1209.00,111254.00
2026-02-27 11:49:00,0.5900,0.5800,0.5900,0.5900,0.5816,0.5900,2275.00,110205.00
2026-02-27 11:50:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,445.00,110650.00
2026-02-27 11:51:00,0.5800,0.5600,0.6000,0.6000,0.5945,0.5900,1434.00,111696.00
2026-02-27 11:52:00,0.6000,0.5400,0.6100,0.5700,0.5860,0.6000,2033.00,113273.00
2026-02-27 11:53:00,0.5700,0.5500,0.6000,0.5800,0.5922,0.5700,6850.00,119945.00
2026-02-27 11:54:00,0.5900,0.5700,0.6300,0.6300,0.6044,0.5800,3061.00,121983.00
2026-02-27 11:55:00,0.6200,0.5800,0.6300,0.5900,0.6179,0.6300,1563.00,122886.00
2026-02-27 11:56:00,0.5900,0.4800,0.6000,0.4900,0.5718,0.5900,5954.00,123163.00
2026-02-27 11:57:00,0.4900,0.4300,0.5500,0.5500,0.5050,0.4900,17244.00,124858.00
2026-02-27 11:58:00,0.5200,0.4700,0.5500,0.4700,0.4935,0.5500,4920.00,127425.00
2026-02-27 11:59:00,0.4600,0.4400,0.5700,0.5200,0.5020,0.4700,3827.00,129004.00
2026-02-27 12:00:00,0.5300,0.4600,0.5600,0.5300,0.5227,0.5200,6843.00,134526.00
2026-02-27 12:01:00,0.5300,0.5100,0.6100,0.6000,0.5516,0.5300,7401.00,136919.00
2026-02-27 12:02:00,0.5900,0.5900,0.6000,0.6000,0.5993,0.6000,20309.00,154306.00
2026-02-27 12:03:00,0.6000,0.5900,0.6000,0.6000,0.5984,0.6000,8939.00,162421.00
2026-02-27 12:04:00,0.6000,0.5700,0.6000,0.5800,0.5851,0.6000,10894.00,173134.00
2026-02-27 12:05:00,0.5700,0.5600,0.6100,0.6100,0.5879,0.5800,7781.00,180225.00
2026-02-27 12:06:00,0.6100,0.5700,0.6500,0.6300,0.5983,0.6100,20812.00,200306.00
2026-02-27 12:07:00,0.6300,0.5900,0.6600,0.6300,0.6382,0.6300,25111.00,224831.00
2026-02-27 12:08:00,0.6200,0.6000,0.6600,0.6100,0.6337,0.6300,18510.00,241199.00
2026-02-27 12:09:00,0.6200,0.6200,0.7200,0.6500,0.6634,0.6100,24813.00,259614.00
2026-02-27 12:10:00,0.6300,0.6200,0.6900,0.6900,0.6559,0.6500,12081.00,270970.00
2026-02-27 12:11:00,0.6800,0.5600,0.7300,0.6200,0.6281,0.6900,17438.00,287043.00
2026-02-27 12:12:00,0.6200,0.6000,0.6800,0.6000,0.6232,0.6200,7192.00,294202.00
2026-02-27 12:13:00,0.6000,0.5600,0.6100,0.5700,0.5804,0.6000,12883.00,304530.00
2026-02-27 12:14:00,0.5700,0.5600,0.5700,0.5700,0.5697,0.5700,7761.00,311823.00
2026-02-27 12:15:00,0.6000,0.5700,0.6100,0.5700,0.5877,0.5700,16639.00,327704.00
2026-02-27 12:16:00,0.5700,0.5500,0.6100,0.5800,0.5671,0.5700,6589.00,332295.00
2026-02-27 12:17:00,0.5800,0.4900,0.5800,0.5100,0.5542,0.5800,9871.00,341416.00
2026-02-27 12:18:00,0.5100,0.4100,0.5100,0.4100,0.4524,0.5100,10658.00,341196.00
2026-02-27 12:19:00,0.4200,0.3400,0.4300,0.3400,0.3833,0.4100,19364.00,342696.00
2026-02-27 12:20:00,0.3600,0.3200,0.3700,0.3300,0.3555,0.3400,14409.00,337436.00
2026-02-27 12:21:00,0.3400,0.3400,0.3600,0.3600,0.3513,0.3300,7926.00,338431.00
2026-02-27 12:22:00,0.3600,0.3300,0.3700,0.3700,0.3481,0.3600,17965.00,323603.00
2026-02-27 12:23:00,0.3500,0.3100,0.3700,0.3300,0.3527,0.3700,3935.00,325008.00
2026-02-27 12:24:00,0.3500,0.3300,0.3800,0.3600,0.3588,0.3300,7648.00,322778.00
2026-02-27 12:25:00,0.3600,0.3500,0.3900,0.3600,0.3769,0.3600,4921.00,326732.00
2026-02-27 12:26:00,0.3600,0.3000,0.3600,0.3400,0.3348,0.3600,6390.00,330870.00
2026-02-27 12:27:00,0.3300,0.3200,0.3700,0.3300,0.3417,0.3400,4632.00,332980.00
2026-02-27 12:28:00,0.3300,0.2600,0.3700,0.3500,0.3347,0.3300,3345.00,334142.00
2026-02-27 12:29:00,0.3600,0.3300,0.4700,0.3900,0.3867,0.3500,5817.00,336150.00
2026-02-27 12:30:00,0.3900,0.3400,0.4000,0.3600,0.3885,0.3900,13234.00,346306.00
2026-02-27 12:31:00,0.3600,0.3200,0.3900,0.3900,0.3710,0.3600,7067.00,351233.00
2026-02-27 12:32:00,0.3700,0.3200,0.3900,0.3800,0.3627,0.3900,9844.00,353358.00
2026-02-27 12:33:00,0.3600,0.3400,0.3900,0.3900,0.3641,0.3800,8026.00,358266.00
2026-02-27 12:34:00,0.3900,0.3700,0.4000,0.4000,0.3856,0.3900,3602.00,359767.00
2026-02-27 12:35:00,0.4000,0.3900,0.4300,0.4300,0.4117,0.4000,7694.00,366234.00
2026-02-27 12:36:00,0.4300,0.3900,0.5200,0.5200,0.4259,0.4300,9552.00,370515.00
2026-02-27 12:37:00,0.4600,0.4000,0.4600,0.4000,0.4344,0.5200,6709.00,375902.00
2026-02-27 12:38:00,0.4000,0.3400,0.4200,0.3700,0.3670,0.4000,5520.00,378246.00
2026-02-27 12:39:00,0.3600,0.3200,0.3700,0.3500,0.3657,0.3700,12672.00,389244.00
2026-02-27 12:40:00,0.3500,0.3400,0.3600,0.3600,0.3544,0.3500,4156.00,391194.00
2026-02-27 12:41:00,0.3600,0.3400,0.3600,0.3400,0.3552,0.3600,1731.00,392016.00
2026-02-27 12:42:00,0.3500,0.3000,0.3600,0.3500,0.3324,0.3400,4810.00,395945.00
2026-02-27 12:43:00,0.3500,0.2900,0.3600,0.3100,0.3119,0.3500,4411.00,398892.00
2026-02-27 12:44:00,0.2900,0.2600,0.3200,0.3200,0.3022,0.3100,10798.00,403029.00
2026-02-27 12:45:00,0.3200,0.2800,0.3200,0.3100,0.2951,0.3200,11405.00,408446.00
2026-02-27 12:46:00,0.2900,0.2900,0.3200,0.3100,0.3104,0.3100,5196.00,412608.00
2026-02-27 12:47:00,0.3200,0.3000,0.3200,0.3200,0.3193,0.3100,12878.00,424208.00
2026-02-27 12:48:00,0.3300,0.3100,0.3300,0.3200,0.3221,0.3200,2540.00,426512.00
2026-02-27 12:49:00,0.3200,0.3100,0.3200,0.3200,0.3193,0.3200,2215.00,428406.00
2026-02-27 12:50:00,0.3200,0.3100,0.3200,0.3200,0.3192,0.3200,3991.00,431675.00
2026-02-27 12:51:00,0.3200,0.3000,0.3200,0.3100,0.3156,0.3200,6699.00,437554.00
2026-02-27 12:52:00,0.3000,0.2800,0.3200,0.2800,0.2910,0.3100,5046.00,440160.00
2026-02-27 12:53:00,0.2700,0.2300,0.3100,0.3100,0.2740,0.2800,6054.00,439464.00
2026-02-27 12:54:00,0.3100,0.2600,0.3300,0.2800,0.2933,0.3100,11198.00,450074.00
2026-02-27 12:55:00,0.2800,0.2700,0.2900,0.2900,0.2850,0.2800,26795.00,464821.00
2026-02-27 12:56:00,0.2900,0.2700,0.3300,0.3100,0.2896,0.2900,13436.00,460887.00
2026-02-27 12:57:00,0.3300,0.3200,0.3600,0.3500,0.3546,0.3100,10442.00,468090.00
2026-02-27 12:58:00,0.3400,0.3400,0.3600,0.3400,0.3482,0.3500,3459.00,469629.00
2026-02-27 12:59:00,0.3500,0.3500,0.4600,0.4400,0.4078,0.3400,7997.00,471620.00
2026-02-27 13:00:00,0.3900,0.3100,0.4300,0.3100,0.3657,0.4400,10779.00,474188.00
2026-02-27 13:01:00,0.3200,0.3000,0.3500,0.3500,0.3374,0.3100,7727.00,477449.00
2026-02-27 13:02:00,0.3500,0.3300,0.3800,0.3300,0.3503,0.3500,52904.00,525798.00
2026-02-27 13:03:00,0.3300,0.3200,0.3300,0.3200,0.3263,0.3300,3478.00,526907.00
2026-02-27 13:04:00,0.3300,0.3200,0.3600,0.3600,0.3411,0.3200,4452.00,530487.00
2026-02-27 13:05:00,0.3700,0.2700,0.3700,0.2700,0.3249,0.3600,5054.00,533519.00
2026-02-27 13:06:00,0.2600,0.1600,0.2700,0.1800,0.2188,0.2700,26478.00,537474.00
2026-02-27 13:07:00,0.1700,0.1400,0.2300,0.1400,0.1680,0.1800,6701.00,537404.00
2026-02-27 13:08:00,0.1100,0.0700,0.1600,0.0800,0.1094,0.1400,13421.00,543315.00
2026-02-27 13:09:00,0.0800,0.0400,0.0800,0.0400,0.0572,0.0800,35534.00,541676.00
2026-02-27 13:10:00,0.0400,0.0400,0.0600,0.0600,0.0523,0.0400,7736.00,543964.00
2026-02-27 13:11:00,0.0500,0.0500,0.0600,0.0600,0.0530,0.0600,6164.00,544206.00
2026-02-27 13:12:00,0.0500,0.0400,0.0700,0.0400,0.0588,0.0600,2832.00,544569.00
2026-02-27 13:13:00,0.0600,0.0400,0.0800,0.0800,0.0762,0.0400,14057.00,553717.00
2026-02-27 13:14:00,0.0800,0.0600,0.0900,0.0700,0.0809,0.0800,14653.00,555535.00
2026-02-27 13:15:00,0.0700,0.0400,0.0900,0.0900,0.0608,0.0700,25407.00,576532.00
2026-02-27 13:16:00,0.0900,0.0400,0.1000,0.0400,0.0833,0.0900,12445.00,574831.00
2026-02-27 13:17:00,0.0400,0.0300,0.0400,0.0400,0.0376,0.0400,19690.00,584766.00
2026-02-27 13:18:00,0.0400,0.0300,0.0400,0.0300,0.0352,0.0400,3958.00,586823.00
2026-02-27 13:19:00,0.0400,0.0300,0.0500,0.0400,0.0488,0.0300,6883.00,593396.00
2026-02-27 13:20:00,0.0500,0.0200,0.0600,0.0200,0.0516,0.0400,16563.00,608682.00
2026-02-27 13:21:00,0.0400,0.0100,0.0400,0.0100,0.0164,0.0200,13896.00,608972.00
2026-02-27 13:22:00,0.0200,0.0100,0.0200,0.0100,0.0148,0.0100,11703.00,609681.00
2026-02-27 13:23:00,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,3597.00,613065.00
2026-02-27 13:24:00,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,537.00,613065.00
2026-02-27 13:25:00,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,40.00,613065.00
